chr	gene_id	gene_name	start	end	gene_type
1	ENSG00000171612	SLC25A33	9539465	9585173	protein_coding
1	ENSG00000188910	GJB3	34781214	34786364	protein_coding
1	ENSG00000158161	EYA3	27970344	28088610	protein_coding
1	ENSG00000142684	ZNF593	26169908	26170873	protein_coding
1	ENSG00000121769	FABP3	31365253	31373076	protein_coding
1	ENSG00000142627	EPHA2	16124337	16156069	protein_coding
1	ENSG00000142632	ARHGEF19	16197854	16212652	protein_coding
1	ENSG00000189337	KAZN	14598685	15118043	protein_coding
1	ENSG00000028137	TNFRSF1B	12166991	12209220	protein_coding
1	ENSG00000130939	UBE4B	10032958	10181239	protein_coding
1	ENSG00000127472	PLA2G5	20070194	20091911	protein_coding
1	ENSG00000060656	PTPRU	29236522	29326800	protein_coding
1	ENSG00000163867	ZMYM6	34986165	35031945	protein_coding
1	ENSG00000189280	GJB5	34755047	34758512	protein_coding
1	ENSG00000134698	AGO4	35808016	35857890	protein_coding
1	ENSG00000132881	CPLANE2	16231692	16237183	protein_coding
1	ENSG00000273274	ZBTB8B	32465072	32496686	protein_coding
1	ENSG00000009709	PAX7	18630846	18748866	protein_coding
1	ENSG00000158008	EXTL1	26021775	26036464	protein_coding
1	ENSG00000130940	CASZ1	10636604	10796646	protein_coding
1	ENSG00000163879	DNALI1	37556940	37566857	protein_coding
1	ENSG00000116954	RRAGC	38838198	38859772	protein_coding
1	ENSG00000163873	GRIK3	36795527	37034515	protein_coding
1	ENSG00000117215	PLA2G2D	20111939	20119536	protein_coding
1	ENSG00000044012	GUCA2B	42153410	42155820	protein_coding
1	ENSG00000179051	RCC2	17406760	17439677	protein_coding
1	ENSG00000126067	PSMB2	35599541	35641526	protein_coding
1	ENSG00000274944	ENSG00000274944	38864529	38881602	protein_coding
1	ENSG00000054118	THRAP3	36224443	36305357	protein_coding
1	ENSG00000276747	PADI6	17372196	17401699	protein_coding
1	ENSG00000159339	PADI4	17308197	17364004	protein_coding
1	ENSG00000158315	RHBDL2	38885807	38941830	protein_coding
1	ENSG00000186973	CFAP144	43147904	43156396	protein_coding
1	ENSG00000146463	ZMYM4	35268709	35422058	protein_coding
1	ENSG00000142686	C1orf216	35713877	35718884	protein_coding
1	ENSG00000117148	ACTL8	17755333	17827063	protein_coding
1	ENSG00000117000	RLF	40161387	40240921	protein_coding
1	ENSG00000092853	CLSPN	35732112	35769978	protein_coding
1	ENSG00000134697	GNL2	37566816	37595937	protein_coding
1	ENSG00000187513	GJA4	34792999	34795747	protein_coding
1	ENSG00000116151	MORN1	2321253	2391554	protein_coding
1	ENSG00000006555	TTC22	54779712	54801323	protein_coding
1	ENSG00000066056	TIE1	43300982	43323108	protein_coding
1	ENSG00000214114	MYCBP	38862493	38873348	protein_coding
1	ENSG00000116544	DLGAP3	34865436	34929650	protein_coding
1	ENSG00000117016	RIMS3	40620680	40665682	protein_coding
1	ENSG00000169213	RAB3B	51907956	51990700	protein_coding
1	ENSG00000163866	SMIM12	34850362	34859749	protein_coding
1	ENSG00000162384	CZIB	53214099	53220634	protein_coding
1	ENSG00000162391	FAM151A	54609181	54623525	protein_coding
1	ENSG00000117859	OSBPL9	51617092	51789219	protein_coding
1	ENSG00000253313	C1orf210	43281877	43285581	protein_coding
1	ENSG00000162396	PARS2	54756898	54764523	protein_coding
1	ENSG00000162378	ZYG11B	52726453	52827336	protein_coding
1	ENSG00000240563	L1TD1	62194849	62212328	protein_coding
1	ENSG00000284773	ENSG00000284773	34974356	34985313	protein_coding
1	ENSG00000117862	TXNDC12	52020131	52055191	protein_coding
1	ENSG00000243725	TTC4	54715861	54742657	protein_coding
1	ENSG00000171872	KLF17	44118821	44135140	protein_coding
1	ENSG00000162407	PLPP3	56494761	56579563	protein_coding
1	ENSG00000163877	SNIP1	37534449	37554293	protein_coding
1	ENSG00000157184	CPT2	53196824	53214197	protein_coding
1	ENSG00000198815	FOXJ3	42176548	42335235	protein_coding
1	ENSG00000134744	TUT4	52423275	52553092	protein_coding
1	ENSG00000283039	KLF18	44137821	44141631	protein_coding
1	ENSG00000162385	MAGOH	53226900	53238518	protein_coding
1	ENSG00000123080	CDKN2C	50970245	50974634	protein_coding
1	ENSG00000162598	C1orf87	59990394	60073770	protein_coding
1	ENSG00000162415	ZSWIM5	45016399	45206605	protein_coding
1	ENSG00000162600	OMA1	58480719	58546726	protein_coding
1	ENSG00000116704	SLC35D1	66999350	67054148	protein_coding
1	ENSG00000157193	LRP8	53242364	53328070	protein_coding
1	ENSG00000116205	TCEANC2	54053608	54106082	protein_coding
1	ENSG00000198841	KTI12	52032103	52033810	protein_coding
1	ENSG00000116212	LRRC42	53946350	53968168	protein_coding
1	ENSG00000132854	KANK4	62236165	62319434	protein_coding
1	ENSG00000162607	USP1	62437049	62451804	protein_coding
1	ENSG00000154027	AK5	77282019	77559966	protein_coding
1	ENSG00000137960	GIPC2	78045966	78138444	protein_coding
1	ENSG00000116745	RPE65	68428822	68449954	protein_coding
1	ENSG00000132855	ANGPTL3	62597520	62606313	protein_coding
1	ENSG00000116675	DNAJC6	65309543	65415871	protein_coding
1	ENSG00000162433	AK4	65148203	65232145	protein_coding
1	ENSG00000213625	LEPROT	65420668	65436007	protein_coding
1	ENSG00000158966	CACHD1	64470129	64693053	protein_coding
1	ENSG00000203965	EFCAB7	63523525	63572693	protein_coding
1	ENSG00000153898	MCOLN2	84925583	84997113	protein_coding
1	ENSG00000117069	ST6GALNAC5	76867480	77067546	protein_coding
1	ENSG00000125703	ATG4C	62784132	62865516	protein_coding
1	ENSG00000162618	ADGRL4	78889764	79006730	protein_coding
1	ENSG00000131233	GJA9	38874069	38881587	protein_coding
1	ENSG00000137941	TTLL7	83865024	83999132	protein_coding
1	ENSG00000066135	KDM4A	43650149	43705518	protein_coding
1	ENSG00000284895	ENSG00000284895	41585306	41628816	protein_coding
1	ENSG00000117174	ZNHIT6	85649417	85708433	protein_coding
1	ENSG00000184313	MROH7	54641786	54710266	protein_coding
1	ENSG00000122420	PTGFR	78490974	78540701	protein_coding
1	ENSG00000143013	LMO4	87328880	87348923	protein_coding
1	ENSG00000134748	PRPF38A	52404602	52420836	protein_coding
1	ENSG00000142892	PIGK	77088989	77219430	protein_coding
1	ENSG00000197273	GUCA2A	42162690	42164745	protein_coding
1	ENSG00000116641	DOCK7	62454726	62688386	protein_coding
1	ENSG00000172260	NEGR1	71395943	72282539	protein_coding
1	ENSG00000137944	KYAT3	88935779	88992629	protein_coding
1	ENSG00000182183	SHISAL2A	52633168	52657065	protein_coding
1	ENSG00000067334	DNTTIP2	93866284	93879206	protein_coding
1	ENSG00000142949	PTPRF	43530883	43623666	protein_coding
1	ENSG00000116133	DHCR24	54849627	54887195	protein_coding
1	ENSG00000171502	COL24A1	85729233	86156772	protein_coding
1	ENSG00000116157	GPX7	52602371	52609051	protein_coding
1	ENSG00000143036	SLC44A3	94820357	94895246	protein_coding
1	ENSG00000065243	PKN2	88684273	88836255	protein_coding
1	ENSG00000117528	ABCD3	94418389	94518663	protein_coding
1	ENSG00000172339	ALG14	94974405	95072951	protein_coding
1	ENSG00000036549	ZZZ3	77562416	77682658	protein_coding
1	ENSG00000058799	YIPF1	53851733	53889797	protein_coding
1	ENSG00000203985	LDLRAD1	54007298	54018186	protein_coding
1	ENSG00000283761	ENSG00000283761	99970018	100082494	protein_coding
1	ENSG00000189433	GJB4	34759740	34762327	protein_coding
1	ENSG00000179178	TMEM125	43269983	43274002	protein_coding
1	ENSG00000142700	DMRTA2	50417550	50423443	protein_coding
1	ENSG00000127124	HIVEP3	41506365	41918922	protein_coding
1	ENSG00000137936	BCAR3	93561741	93681837	protein_coding
1	ENSG00000143032	BARHL2	90711539	90717302	protein_coding
1	ENSG00000117519	CNN3	94896957	94927110	protein_coding
1	ENSG00000134215	VAV3	107571161	107965180	protein_coding
1	ENSG00000188641	DPYD	97077743	97921034	protein_coding
1	ENSG00000152078	TLCD4	95117355	95197607	protein_coding
1	ENSG00000171492	LRRC8D	89821032	89936611	protein_coding
1	ENSG00000170989	S1PR1	101237019	101241518	protein_coding
1	ENSG00000116299	ELAPOR1	109114115	109206781	protein_coding
1	ENSG00000137962	ARHGAP29	94168905	94237584	protein_coding
1	ENSG00000079739	PGM1	63593411	63660245	protein_coding
1	ENSG00000117154	IGSF21	18107798	18378483	protein_coding
1	ENSG00000162377	COA7	52684449	52698347	protein_coding
1	ENSG00000116774	OLFML3	113979474	113982253	protein_coding
1	ENSG00000023909	GCLM	93885199	93909430	protein_coding
1	ENSG00000069702	TGFBR3	91680343	91886151	protein_coding
1	ENSG00000198198	SZT2	43389899	43454247	protein_coding
1	ENSG00000116793	PHTF1	113696831	113759486	protein_coding
1	ENSG00000117525	F3	94529173	94541759	protein_coding
1	ENSG00000162692	VCAM1	100719742	100739045	protein_coding
1	ENSG00000181656	GPR88	100538139	100542021	protein_coding
1	ENSG00000122481	RWDD3	95234210	95247225	protein_coding
1	ENSG00000198162	MAN1A2	117367449	117528872	protein_coding
1	ENSG00000171517	LPAR3	84811602	84893206	protein_coding
1	ENSG00000143079	CTTNBP2NL	112396214	112461164	protein_coding
1	ENSG00000085491	SLC25A24	108134043	108200343	protein_coding
1	ENSG00000173947	PIFO	111346622	111353013	protein_coding
1	ENSG00000134198	TSPAN2	115048011	115089503	protein_coding
1	ENSG00000198799	LRIG2	113073198	113132260	protein_coding
1	ENSG00000117620	SLC35A3	99969996	100035634	protein_coding
1	ENSG00000162688	AGL	99850361	99924020	protein_coding
1	ENSG00000197106	SLC6A17	110150494	110202202	protein_coding
1	ENSG00000203859	HSD3B2	119415150	119423034	protein_coding
1	ENSG00000185946	RNPC3	103525699	103555239	protein_coding
1	ENSG00000162627	SNX7	98661721	98760500	protein_coding
1	ENSG00000162695	SLC30A7	100896090	100981757	protein_coding
1	ENSG00000265808	SEC22B	120150898	120176520	protein_coding
1	ENSG00000134247	PTGFRN	116909916	116990353	protein_coding
1	ENSG00000162664	ZNF326	89995110	90035533	protein_coding
1	ENSG00000134253	TRIM45	117111060	117121749	protein_coding
1	ENSG00000183508	TENT5C	117606048	117628389	protein_coding
1	ENSG00000198765	SYCP1	114854863	114995370	protein_coding
1	ENSG00000143398	PIP5K1A	151198552	151249531	protein_coding
1	ENSG00000196505	GDAP2	117863485	117929621	protein_coding
1	ENSG00000134200	TSHB	115029826	115034302	protein_coding
1	ENSG00000065183	WDR3	117929739	117966543	protein_coding
1	ENSG00000163393	SLC22A15	115976513	116070054	protein_coding
1	ENSG00000163156	SCNM1	151166144	151170296	protein_coding
1	ENSG00000143631	FLG	152302165	152325239	protein_coding
1	ENSG00000079335	CDC14A	100352506	100520277	protein_coding
1	ENSG00000143119	CD53	110873148	110899922	protein_coding
1	ENSG00000143520	FLG2	152348735	152360006	protein_coding
1	ENSG00000171943	SRGAP2C	121184975	121392874	protein_coding
1	ENSG00000155761	SPAG17	117953590	118185228	protein_coding
1	ENSG00000116830	TTF2	117060326	117107453	protein_coding
1	ENSG00000081026	MAGI3	113390515	113685923	protein_coding
1	ENSG00000143458	GABPB2	151070761	151125542	protein_coding
1	ENSG00000073754	CD5L	157830911	157841808	protein_coding
1	ENSG00000163155	LYSMD1	151159748	151165902	protein_coding
1	ENSG00000116824	CD2	116754430	116769229	protein_coding
1	ENSG00000024526	DEPDC1	68474152	68497082	protein_coding
1	ENSG00000117262	GPR89A	145607988	145670650	protein_coding
1	ENSG00000137947	GTF2B	88852633	88891567	protein_coding
1	ENSG00000117586	TNFSF4	173183731	173207331	protein_coding
1	ENSG00000162728	KCNJ9	160081538	160090563	protein_coding
1	ENSG00000184371	CSF1	109910849	109930992	protein_coding
1	ENSG00000163154	TNFAIP8L2	151156649	151159749	protein_coding
1	ENSG00000162729	IGSF8	160091343	160098619	protein_coding
1	ENSG00000143158	MPC2	167916675	167937072	protein_coding
1	ENSG00000271092	TLCD4-RWDD3	95117923	95244955	protein_coding
1	ENSG00000000460	C1orf112	169795040	169854080	protein_coding
1	ENSG00000135862	LAMC1	183023420	183145592	protein_coding
1	ENSG00000143198	MGST3	165631234	165656136	protein_coding
1	ENSG00000143318	CASQ1	160190575	160201886	protein_coding
1	ENSG00000143621	ILF2	153661788	153670993	protein_coding
1	ENSG00000143156	NME7	169132531	169367797	protein_coding
1	ENSG00000198771	RCSD1	167630232	167708696	protein_coding
1	ENSG00000213064	SFT2D2	168226004	168253021	protein_coding
1	ENSG00000143179	UCK2	165827614	165911618	protein_coding
1	ENSG00000143315	PIGM	160024953	160031990	protein_coding
1	ENSG00000143185	XCL2	168540768	168543997	protein_coding
1	ENSG00000143190	POU2F1	167220886	167427340	protein_coding
1	ENSG00000075945	KIFAP3	169921329	170074695	protein_coding
1	ENSG00000092607	TBX15	118883047	118988343	protein_coding
1	ENSG00000117091	CD48	160678746	160711822	protein_coding
1	ENSG00000143171	RXRG	165400922	165445126	protein_coding
1	ENSG00000047410	TPR	186311652	186375253	protein_coding
1	ENSG00000018625	ATP1A2	160115759	160143591	protein_coding
1	ENSG00000171806	METTL18	169792529	169794907	protein_coding
1	ENSG00000134216	CHIA	111290851	111320563	protein_coding
1	ENSG00000162694	EXTL2	100872391	100894842	protein_coding
1	ENSG00000118197	DDX59	200644037	200669907	protein_coding
1	ENSG00000135842	NIBAN1	184791032	184974508	protein_coding
1	ENSG00000184155	OR10J5	159535078	159536007	protein_coding
1	ENSG00000058085	LAMC2	183186264	183245127	protein_coding
1	ENSG00000116815	CD58	116514534	116571026	protein_coding
1	ENSG00000143167	GPA33	167052836	167090377	protein_coding
1	ENSG00000143184	XCL1	168576605	168582069	protein_coding
1	ENSG00000177807	KCNJ10	160037467	160070160	protein_coding
1	ENSG00000143228	NUF2	163321954	163355759	protein_coding
1	ENSG00000174514	MFSD4A	205569014	205602918	protein_coding
1	ENSG00000143178	TBX19	168280877	168314426	protein_coding
1	ENSG00000116833	NR5A2	200027710	200177415	protein_coding
1	ENSG00000000457	SCYL3	169849631	169893896	protein_coding
1	ENSG00000143507	DUSP10	221701424	221742089	protein_coding
1	ENSG00000157064	NMNAT2	183248237	183418380	protein_coding
1	ENSG00000059588	TARBP1	234391313	234479179	protein_coding
1	ENSG00000122224	LY9	160796174	160828255	protein_coding
1	ENSG00000162782	TDRD5	179591832	179691272	protein_coding
1	ENSG00000143653	SCCPDH	246724409	246768137	protein_coding
1	ENSG00000158711	ELK4	205607943	205632011	protein_coding
1	ENSG00000162851	TFB2M	246540561	246566261	protein_coding
1	ENSG00000143353	LYPLAL1	219173878	219212858	protein_coding
1	ENSG00000197965	MPZL1	167721982	167791919	protein_coding
1	ENSG00000143493	INTS7	211940403	212035557	protein_coding
1	ENSG00000179397	CATSPERE	244461273	244640504	protein_coding
1	ENSG00000117592	PRDX6	173477335	173488815	protein_coding
1	ENSG00000186197	EDARADD	236394286	236484930	protein_coding
1	ENSG00000162670	BRINP3	190097658	190477864	protein_coding
1	ENSG00000162761	LMX1A	165201867	165356715	protein_coding
1	ENSG00000143199	ADCY10	167809386	167914134	protein_coding
1	ENSG00000007908	SELE	169722640	169734079	protein_coding
1	ENSG00000092978	GPATCH2	217426992	217631090	protein_coding
1	ENSG00000143499	SMYD2	214281159	214337131	protein_coding
1	ENSG00000188404	SELL	169690667	169711620	protein_coding
1	ENSG00000143196	DPT	168695468	168729206	protein_coding
1	ENSG00000203697	CAPN8	223541616	223665701	protein_coding
1	ENSG00000116574	RHOU	228735479	228746664	protein_coding
1	ENSG00000121481	RNF2	185045558	185102603	protein_coding
1	ENSG00000143248	RGS5	163142299	163202916	protein_coding
1	ENSG00000162814	SPATA17	217631344	217871696	protein_coding
1	ENSG00000116132	PRRX1	170664131	170739421	protein_coding
1	ENSG00000116679	IVNS1ABP	185296388	185317243	protein_coding
1	ENSG00000152092	ASTN1	176861067	177164712	protein_coding
1	ENSG00000143476	DTL	212035748	212105013	protein_coding
1	ENSG00000121486	TRMT1L	185118101	185156953	protein_coding
1	ENSG00000057252	SOAT1	179293797	179358680	protein_coding
1	ENSG00000162852	CNST	246566456	246668595	protein_coding
1	ENSG00000143842	SOX13	204073115	204127743	protein_coding
1	ENSG00000116962	NID1	235975830	236065090	protein_coding
1	ENSG00000181450	ZNF678	227563556	227662461	protein_coding
1	ENSG00000162753	SLC9C2	173500460	173603072	protein_coding
1	ENSG00000143355	LHX9	197917372	197935478	protein_coding
1	ENSG00000121644	DESI2	244653126	244709033	protein_coding
1	ENSG00000174502	SLC26A9	205913052	205943456	protein_coding
1	ENSG00000158715	SLC45A3	205657851	205680509	protein_coding
1	ENSG00000143195	ILDR2	166908187	166975540	protein_coding
1	ENSG00000162849	KIF26B	245154985	245709432	protein_coding
1	ENSG00000067533	RRP15	218285293	218337983	protein_coding
1	ENSG00000116209	TMEM59	54026681	54053204	protein_coding
1	ENSG00000152104	PTPN14	214348700	214551602	protein_coding
1	ENSG00000117650	NEK2	211662772	211675621	protein_coding
1	ENSG00000203724	C1orf53	197902630	197907362	protein_coding
1	ENSG00000158764	ITLN2	160945025	160954809	protein_coding
1	ENSG00000168118	RAB4A	229271111	229305894	protein_coding
1	ENSG00000173726	TOMM20	235109341	235128837	protein_coding
1	ENSG00000152382	TADA1	166856510	166876264	protein_coding
1	ENSG00000143839	REN	204154819	204166337	protein_coding
1	ENSG00000135829	DHX9	182839347	182887982	protein_coding
1	ENSG00000134717	BTF3L4	52056295	52090716	protein_coding
1	ENSG00000116668	SWT1	185157167	185291781	protein_coding
1	ENSG00000143207	COP1	175944831	176207286	protein_coding
1	ENSG00000026751	SLAMF7	160739247	160754821	protein_coding
1	ENSG00000150681	RGS18	192158462	192185815	protein_coding
1	ENSG00000116906	GNPAT	231241212	231277973	protein_coding
1	ENSG00000092969	TGFB2	218345336	218444619	protein_coding
1	ENSG00000157181	ODR4	186375838	186421375	protein_coding
1	ENSG00000076258	FMO4	171314183	171342084	protein_coding
1	ENSG00000117697	NSL1	212726153	212791777	protein_coding
1	ENSG00000162669	HFM1	91260766	91404837	protein_coding
1	ENSG00000132681	ATP1A4	160151603	160186980	protein_coding
1	ENSG00000143641	GALNT2	230067238	230282122	protein_coding
1	ENSG00000010932	FMO1	171248494	171285961	protein_coding
1	ENSG00000010072	SPRTN	231338293	231355023	protein_coding
1	ENSG00000135766	EGLN1	231363756	231422287	protein_coding
1	ENSG00000163534	FCRL1	157794403	157820120	protein_coding
1	ENSG00000168243	GNG4	235547685	235649784	protein_coding
1	ENSG00000116183	PAPPA2	176463175	176845601	protein_coding
1	ENSG00000170382	LRRN2	204617170	204685738	protein_coding
1	ENSG00000066027	PPP2R5A	212285410	212361853	protein_coding
1	ENSG00000173728	C1orf100	244352635	244389663	protein_coding
1	ENSG00000135828	RNASEL	182573634	182589256	protein_coding
1	ENSG00000185523	SPATA45	212830141	212847649	protein_coding
1	ENSG00000116711	PLA2G4A	186828949	186988981	protein_coding
1	ENSG00000143845	ETNK2	204131062	204152044	protein_coding
1	ENSG00000157060	SHCBP1L	182899865	182953166	protein_coding
1	ENSG00000123684	LPGAT1	211743457	211830763	protein_coding
1	ENSG00000123836	PFKFB2	207053275	207077817	protein_coding
1	ENSG00000287856	ENSG00000287856	231365938	231528602	protein_coding
1	ENSG00000203705	TATDN3	212791894	212816830	protein_coding
1	ENSG00000174175	SELP	169588849	169630124	protein_coding
1	ENSG00000008118	CAMK1G	209583714	209613939	protein_coding
1	ENSG00000171161	ZNF672	248838224	248849517	protein_coding
1	ENSG00000196878	LAMB3	209614870	209652425	protein_coding
1	ENSG00000074964	ARHGEF10L	17539698	17697869	protein_coding
1	ENSG00000198929	NOS1AP	162069691	162370475	protein_coding
1	ENSG00000174606	ANGEL2	212992182	213015867	protein_coding
1	ENSG00000179914	ITLN1	160876540	160885180	protein_coding
1	ENSG00000121446	RGSL1	182450146	182560597	protein_coding
1	ENSG00000116903	EXOC8	231332753	231337852	protein_coding
1	ENSG00000198797	BRINP2	177170958	177282422	protein_coding
1	ENSG00000151414	NEK7	198156998	198322420	protein_coding
1	ENSG00000177614	PGBD5	230314490	230426332	protein_coding
1	ENSG00000183831	ANKRD45	173608336	173669851	protein_coding
1	ENSG00000197472	ZNF695	246985323	247008057	protein_coding
1	ENSG00000136643	RPS6KC1	213051241	213274774	protein_coding
1	ENSG00000162877	PM20D1	205828025	205850132	protein_coding
1	ENSG00000069248	NUP133	229440259	229508341	protein_coding
1	ENSG00000253148	RGS21	192316992	192367285	protein_coding
1	ENSG00000090104	RGS1	192575773	192580024	protein_coding
1	ENSG00000185220	PGBD2	248906235	248919146	protein_coding
1	ENSG00000162769	FLVCR1	212858275	212899363	protein_coding
1	ENSG00000133065	SLC41A1	205789095	205813198	protein_coding
1	ENSG00000042781	USH2A	215622891	216423448	protein_coding
1	ENSG00000277462	ZNF670	247034637	247078811	protein_coding
1	ENSG00000035687	ADSS2	244408494	244451909	protein_coding
1	ENSG00000180287	PLD5	242082986	242524697	protein_coding
1	ENSG00000230124	ACBD6	180288230	180502577	protein_coding
1	ENSG00000007341	ST7L	112523514	112619141	protein_coding
1	ENSG00000143324	XPR1	180632022	180890279	protein_coding
1	ENSG00000118193	KIF14	200551500	200620751	protein_coding
1	ENSG00000198842	STYXL2	167094075	167129165	protein_coding
1	ENSG00000198756	COLGALT2	183935834	184037728	protein_coding
1	ENSG00000054282	SDCCAG8	243256041	243500091	protein_coding
1	ENSG00000183780	SLC35F3	233904676	234324511	protein_coding
1	ENSG00000162702	ZNF281	200404951	200410036	protein_coding
1	ENSG00000143194	MAEL	166989280	167022214	protein_coding
1	ENSG00000054267	ARID4B	235166902	235328179	protein_coding
1	ENSG00000175137	SH3BP5L	248810446	248825915	protein_coding
1	ENSG00000134245	WNT2B	112508965	112530165	protein_coding
1	ENSG00000069275	NUCKS1	205712822	205750182	protein_coding
1	ENSG00000187889	FYB2	56718789	56819404	protein_coding
1	ENSG00000097046	CDC7	91500851	91525764	protein_coding
1	ENSG00000232113	TEX50	173635338	173637130	protein_coding
1	ENSG00000203737	GPR52	174447964	174449545	protein_coding
1	ENSG00000185420	SMYD3	245749347	246507279	protein_coding
1	ENSG00000076321	KLHL20	173714981	173786692	protein_coding
1	ENSG00000117280	RAB29	205767986	205775482	protein_coding
1	ENSG00000136636	KCTD3	215567304	215621807	protein_coding
1	ENSG00000163874	ZC3H12A	37474580	37484377	protein_coding
1	ENSG00000054392	HHAT	210328902	210676290	protein_coding
1	ENSG00000122223	CD244	160830160	160862887	protein_coding
1	ENSG00000188739	RBM34	235131183	235161250	protein_coding
1	ENSG00000203730	TEDDM1	182398117	182400667	protein_coding
1	ENSG00000143341	HMCN1	185734391	186190949	protein_coding
1	ENSG00000116703	PDC	186443566	186461114	protein_coding
1	ENSG00000162545	CAMK2N1	20482391	20486210	protein_coding
1	ENSG00000090432	MUL1	20499448	20508151	protein_coding
1	ENSG00000183114	FAM43B	20552573	20555020	protein_coding
1	ENSG00000158825	CDA	20589097	20618903	protein_coding
1	ENSG00000158828	PINK1	20633458	20651511	protein_coding
1	ENSG00000134371	CDC73	193122031	193254815	protein_coding
1	ENSG00000162630	B3GALT2	193178730	193186613	protein_coding
1	ENSG00000066557	LRRC40	70144805	70205579	protein_coding
1	ENSG00000118454	ANKRD13C	70258999	70354722	protein_coding
1	ENSG00000116761	CTH	70411268	70439851	protein_coding
1	ENSG00000007968	E2F2	23506438	23531233	protein_coding
1	ENSG00000117318	ID3	23557926	23559501	protein_coding
1	ENSG00000142676	RPL11	23691806	23696835	protein_coding
1	ENSG00000057757	PITHD1	23778418	23788232	protein_coding
1	ENSG00000011009	LYPLA2	23791145	23795539	protein_coding
1	ENSG00000117308	GALE	23795599	23800754	protein_coding
1	ENSG00000132703	APCS	159587826	159588865	protein_coding
1	ENSG00000132693	CRP	159712289	159714589	protein_coding
1	ENSG00000158716	DUSP23	159780962	159782543	protein_coding
1	ENSG00000181036	FCRL6	159802360	159816257	protein_coding
1	ENSG00000158714	SLAMF8	159826873	159837492	protein_coding
1	ENSG00000243284	VSIG8	159854316	159862657	protein_coding
1	ENSG00000213085	CFAP45	159872364	159900165	protein_coding
1	ENSG00000162723	SLAMF9	159951492	159954237	protein_coding
1	ENSG00000163399	ATP1A1	116373244	116404774	protein_coding
1	ENSG00000177888	ZBTB41	197153682	197201293	protein_coding
1	ENSG00000243364	EFNA4	155063740	155069553	protein_coding
1	ENSG00000251246	EFNA4-EFNA3	155063748	155086807	protein_coding
1	ENSG00000143590	EFNA3	155078837	155087538	protein_coding
1	ENSG00000169242	EFNA1	155127876	155134899	protein_coding
1	ENSG00000169241	SLC50A1	155135852	155138853	protein_coding
1	ENSG00000163463	KRTCAP2	155169408	155173304	protein_coding
1	ENSG00000273088	ENSG00000273088	155169409	155187272	protein_coding
1	ENSG00000169231	THBS3	155195588	155207897	protein_coding
1	ENSG00000177628	GBA1	155234452	155241249	protein_coding
1	ENSG00000116521	SCAMP3	155255981	155262360	protein_coding
1	ENSG00000176444	CLK2	155262868	155273504	protein_coding
1	ENSG00000143630	HCN3	155277463	155289848	protein_coding
1	ENSG00000143627	PKLR	155289293	155301438	protein_coding
1	ENSG00000197721	CR1L	207645133	207723703	protein_coding
1	ENSG00000174059	CD34	207880972	207911125	protein_coding
